"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","91 [41-150]","110 [45-190]","170 [67-300]","292 [130-490]","378 [160-640]","351 [150-610]","174 [74-320]","152 [66-270]","129 [46-250]","92 [31-190]","192 [74-360]","165 [67-320]","139 [53-280]","198 [72-410]","236 [88-490]","222 [84-450]","259 [100-510]","350 [150-660]","798 [370-1 440]","1 133 [530-2 040]","965 [400-1 880]","965 [410-1 880]"
"Algeria","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2"
"Angola","17 836 [11 400-29 800]","14 853 [9 990-23 700]","13 897 [9 630-21 300]","13 624 [9 520-20 500]","14 080 [9 740-21 000]","13 553 [9 510-19 800]","12 675 [9 100-18 000]","11 659 [8 610-16 000]","11 470 [8 650-15 400]","11 463 [8 800-15 000]","11 773 [9 210-15 100]","12 352 [9 870-15 500]","13 168 [10 700-16 200]","15 179 [12 600-18 400]","18 172 [15 200-21 700]","20 340 [17 400-23 900]","21 628 [18 800-24 900]","22 190 [19 500-25 200]","22 162 [19 700-25 000]","21 992 [19 600-24 700]","23 856 [21 300-26 700]","23 478 [21 100-26 200]"
"Argentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Azerbaijan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bangladesh","16 [7-27]","15 [7-25]","47 [22-77]","26 [12-42]","73 [34-110]","72 [33-110]","105 [49-170]","160 [74-250]","77 [35-120]","85 [39-140]","155 [71-250]","166 [76-270]","187 [85-300]","264 [120-440]","263 [110-480]","139 [55-260]","216 [67-440]","213 [66-430]","210 [65-420]","206 [63-410]","203 [63-400]","199 [61-400]"
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"Benin","11 154 [8 590-14 400]","10 585 [8 870-12 700]","10 454 [9 160-11 900]","10 428 [9 320-11 700]","10 854 [9 790-12 000]","11 849 [10 700-13 000]","11 546 [10 500-12 600]","10 522 [9 680-11 400]","9 973 [9 210-10 800]","8 942 [8 290-9 640]","8 429 [7 840-9 060]","8 694 [8 110-9 320]","9 491 [8 870-10 100]","10 790 [10 100-11 500]","12 342 [11 600-13 100]","13 078 [12 300-13 900]","12 180 [11 500-12 900]","11 134 [10 500-11 800]","9 748 [9 200-10 300]","8 693 [8 220-9 200]","7 662 [7 250-8 100]","7 420 [7 030-7 840]"
